ADM4_PCODE,Barangay,DC_2010,DC_2011,DC_2012,DC_2013,DC_2014,DC_2015,DC_2016,DC_2017,DC_2018,DC_2019,DC_2020,DC_2021,DC_2022,DC_2023,DC_2024,DC_2025,DC_Mean
PH1307404001,Alicia,34,28,52,34,17,38,40,39,39,35,9,9,30,22,31,41,31.125
PH1307404002,Amihan,4,16,12,17,3,7,9,9,23,26,,3,7,7,14,17,11.6
PH1307404003,Apolonio Samson,64,86,129,49,48,61,51,61,65,95,27,2,54,65,110,131,68.625
PH1307404004,Aurora,10,17,10,20,6,4,8,15,11,18,2,21,16,7,22,22,13.0625
PH1307404005,Baesa,105,154,171,101,108,76,85,98,191,178,28,35,147,90,160,358,130.3125
PH1307404006,Bagbag,212,421,278,161,59,158,91,179,129,312,28,32,108,81,280,150,167.4375
PH1307404008,Bagong Lipunan Ng Crame,16,10,24,20,3,16,11,21,19,45,5,9,40,18,30,23,19.375
PH1307404009,Bagong Pag-asa,74,80,141,81,24,56,81,88,80,96,14,12,34,44,64,105,67.125
PH1307404010,Bagong Silangan,79,65,140,47,30,60,78,177,67,240,34,19,69,72,207,403,111.6875
PH1307404011,Bagumbayan,6,28,18,1,6,19,19,26,40,35,12,13,23,25,37,47,22.1875
PH1307404007,Bagumbuhay,6,24,21,21,6,14,14,26,56,31,9,6,22,23,23,39,21.3125
PH1307404012,Bahay Toro,160,186,299,173,82,161,153,212,191,252,54,86,202,138,250,308,181.6875
PH1307404013,Balingasa,52,90,71,24,14,16,26,31,46,58,4,7,21,62,50,80,40.75
PH1307404135,Balong Bato,17,28,14,21,1,8,16,9,20,18,4,5,16,13,21,31,15.125
PH1307404139,Batasan Hills,165,339,343,195,86,352,230,466,506,407,130,99,185,190,568,968,326.8125
PH1307404014,Bayanihan,2,,2,,,1,10,1,1,15,1,,4,5,6,12,5
PH1307404015,Blue Ridge A,14,6,10,3,,3,5,3,8,10,1,1,2,2,2,5,5
PH1307404016,Blue Ridge B,1,,,1,1,2,2,2,,7,1,,1,,1,3,2
PH1307404017,Botocan,4,38,11,13,5,5,15,21,40,34,5,10,14,10,18,40,17.6875
PH1307404018,Bungad,33,35,38,29,8,20,24,32,29,24,6,8,23,26,51,63,28.0625
PH1307404019,Camp Aguinaldo,15,29,18,14,1,18,19,22,6,15,5,2,4,20,69,15,17
PH1307404136,Capri,22,73,41,45,5,22,14,25,10,58,2,7,10,7,29,60,26.875
PH1307404020,Central,31,50,39,35,13,38,24,40,57,188,8,10,20,45,59,102,47.4375
PH1307404021,Claro,9,13,9,16,11,10,6,9,16,19,9,1,12,6,10,8,10.25
PH1307404022,Commonwealth,121,350,345,177,81,331,233,580,457,466,89,42,237,162,536,598,300.3125
PH1307404025,Culiat,159,127,292,96,51,87,87,170,127,293,48,17,109,123,130,289,137.8125
PH1307404026,Damar,2,3,5,3,,4,2,3,3,8,1,4,1,1,5,3,3.2
PH1307404027,Damayan,29,37,44,18,17,12,15,18,16,30,4,8,17,10,26,17,19.875
